 dt=   5.0000000000000004E-006
 s_ind=         126
 steps=     2000000
 zipper=        2000

istep          p0              t0              rout            zout
  652000    0.44767408E+01  0.70552278E+01  0.10463898E+01  0.30531050E+00
  654000    0.44860377E+01  0.70514495E+01  0.10479990E+01  0.30564217E+00
  656000    0.44953190E+01  0.70476751E+01  0.10496179E+01  0.30596263E+00
  658000    0.45045846E+01  0.70439051E+01  0.10512464E+01  0.30627183E+00
  660000    0.45138346E+01  0.70401397E+01  0.10528842E+01  0.30656970E+00
  662000    0.45230687E+01  0.70363790E+01  0.10545313E+01  0.30685620E+00
  664000    0.45322871E+01  0.70326234E+01  0.10561875E+01  0.30713128E+00
  666000    0.45414897E+01  0.70288730E+01  0.10578526E+01  0.30739488E+00
  668000    0.45506765E+01  0.70251282E+01  0.10595265E+01  0.30764696E+00
  670000    0.45598473E+01  0.70213891E+01  0.10612091E+01  0.30788748E+00
  672000    0.45690023E+01  0.70176560E+01  0.10629001E+01  0.30811638E+00
  674000    0.45781414E+01  0.70139291E+01  0.10645994E+01  0.30833362E+00
  676000    0.45872645E+01  0.70102087E+01  0.10663069E+01  0.30853917E+00
  678000    0.45963716E+01  0.70064950E+01  0.10680224E+01  0.30873297E+00
  680000    0.46054627E+01  0.70027882E+01  0.10697458E+01  0.30891501E+00
  682000    0.46145379E+01  0.69990886E+01  0.10714768E+01  0.30908523E+00
  684000    0.46235970E+01  0.69953963E+01  0.10732153E+01  0.30924360E+00
